,freq,spread
0,1.356443323183576,663.9023323023138
1,1.3984334944969807,697.9801171933656
2,1.441723517014482,651.8469681718528
3,1.4863536290370902,621.4115224577876
4,1.532365314485979,630.8251172572025
5,1.5798013414620042,584.5517751838803
6,1.6287058019988767,555.276948114401
7,1.6791241530469383,526.1795833327261
8,1.7311032587256312,458.37333078601887
9,1.7846914338839417,383.8083486653185
10,1.839938489009304,321.0762784986207
11,1.8968957765267056,300.76282005047005
12,1.9556162385310367,305.5486662914111
13,2.016154455997039,297.72443263529635
14,2.078566699512608,295.57521964305784
15,2.1429109815825926,298.2578604030258
16,2.209247110551728,275.2667419531631
17,2.277636746196797,235.12349934535405
18,2.348143457039713,201.0602949767436
19,2.420832779434796,151.2297526165222
20,2.495772278485148,96.29159893726259
21,2.573031610844775,78.12637804546762
22,2.652682589464805,81.09051675429657
23,2.734799250343999,80.54738543113427
24,2.819457921345599,78.56631187931367
25,2.906737293144471,88.11128523521398
26,2.9967184923705,96.20704945644982
27,3.089485157016211,113.10980156841248
28,3.18512351417872,129.01492217241466
29,3.283722460208267,131.4506061443187
30,3.3853736433378394,128.826101135771
31,3.4901715488706766,135.9395149555278
32,3.5982135870048544,147.63051212896136
33,3.7096001833765673,150.1221046513522
34,3.8244348724062815,155.84899227388343
35,3.942824393534519,149.22708476826114
36,4.064878790436717,147.34646353455304
37,4.1907115133094015,130.32400505675793
38,4.320439524322733,96.36794857436894
39,4.4541834063374495,73.61255002602087
40,4.59206747498727,58.51103461187155
41,4.73421989423091,46.400601756786116
42,4.88077279548116,43.61156561823866
43,5.031862400421714,53.851908321378446
44,5.187629147625933,56.54401803114895
45,5.348217823095231,45.88492908972573
46,5.513777694838416,46.128435532626426
47,5.684462651617078,54.29444569383101
48,5.8604313459859965,48.95117307458358
49,6.041847341761513,47.07980076796146
50,6.228879266054945,47.69445456848311
51,6.421700966012375,39.79976070893154
52,6.620491670406459,33.977668035533554
53,6.825436156230516,33.911304040991766
54,7.036724920449704,36.600444049567
55,7.254554357068926,40.29153937239715
56,7.479126939682099,38.46606547294405
57,7.710651409672393,32.16845666025049
58,7.949342970238445,28.839180340295265
59,8.195423486426842,27.98808905211615
60,8.449121691356845,29.65090188780219
61,8.710673398829007,32.55910146459063
62,8.980321722515322,32.16067088466198
63,9.258317301934657,28.00840934757074
64,9.544918535423482,26.59985900766392
65,9.840391820318468,26.215206662894516
66,10.145011800574196,24.96833007497731
67,10.459061622046148,24.144998899678093
68,10.782833195676236,23.631500497858198
69,11.116627468825556,26.823373523668984
70,11.46075470500652,29.967652862538205
71,11.815534772274397,29.864933633524135
72,12.18129744054634,30.30572633836114
73,12.558382688124247,32.226606278298604
74,12.94714101770634,31.3453223145519
75,13.347933782181263,33.699406349618926
76,13.76113352050746,35.516497996313845
77,14.18712430399008,27.508328723663908
78,14.626302093277252,24.642559574558465
79,15.079075106407563,35.31416947761038
80,15.545864198250849,40.64712912614222
81,16.027103251694978,33.259244199322815
82,16.52323958094227,34.9683727894907
83,17.034734347290346,46.48958998464959
84,17.56206298778398,51.72638959803679
85,18.105715657136276,52.833551384311534
86,18.666197683330044,53.44398312476749
87,19.244030037322787,51.32006362669789
88,19.83974981729189,46.00892451452468
89,20.45391074787021,36.82997429459331
90,21.08708369483596,35.678990939634936
91,21.73985719573544,43.60557060782969
92,22.41283800693173,39.23140009054647
93,23.10665166758793,40.301089975142595
94,23.821943081108984,50.23641045860508
95,24.55937711458284,54.78540601546136
96,25.319639216777777,51.26811379897599
97,26.10343605527068,44.11370579802262
98,26.911496173298165,40.4803355410389
